1,Aberdeen,UK,1,85,1224,5713,-207,ABZ,EGPD,UKXX0001,14
2,Abu Dhabi,AE,1,165,2,2442,5452,AUH,OMAA,AEXX0001,245
3,Abuja,NG,1,113,9,917,717,ABV,DXXX,NIXX0022,1005
4,Accra,GH,1,90,21,556,-020,ACC,DGAA,GHXX0001,1562
5,Addis Ababa,ET,1,155,1,902,3875,ADD,HAAB,ETXX0001,1007
6,Adelaide; SA,AU,1,250,8,-3493,13860,ADL,YPAD,ASXX0001,285
7,Agana; GU,GU,1,275,671,1347,14475,GUM,PGUM,USGU0001,2552
8,Ahmadabad,IN,1,190,79,2305,7260,AMD,VAAH,INXX0001,2009
9,Akita,JP,1,235,188,3970,14011,AXT,RJSK,JAXX0001,2553
10,Akron; OH,US,1,35,330,4108,-8149,CAK,KCAK,USOH0008,6007
11,Alborg,DK,1,105,,5705,951,AAL,EKYT,DAXX0002,4000
12,Albuquerque; NM,US,1,10,505,3508,-10665,ABQ,KIKR,USNM0004,390
13,Alexandria; VA,US,1,35,703,3880,-7706,DCA,KDCA,USVA0007,102
14,Algiers,DZ,1,113,2,3677,305,ALG,DAAG,AGXX0001,78
15,Allentown; PA,US,1,35,610,4059,-7546,ABE,KABE,USPA0025,6011
16,Almaty,KZ,1,195,327,4325,7695,ALA,UAAA,KZXX0001,140
17,Amman,JO,1,-2147483582,6,3195,3593,AMM,OJAI,JOXX0002,246
18,Amsterdam,NL,1,110,20,5238,490,AMS,EHAM,NLXX0002,36
19,Anaheim; CA,US,1,4,714,3383,-11791,ANA,KFUL,USCA0027,454
20,Anchorage; AK,US,1,3,907,6121,-14988,ANC,PANC,USAK0012,260
21,Andorra la Vella,AD,1,110,,4251,152,ALV,LFMK,ANXX0001,183
22,Angers,FR,1,105,2,4747,-055,ANE,LFRA,FRXX0137,4026
23,Ankara,TR,1,1000,312,3993,3285,ANK,LTAD,TUXX0002,73
24,Ann Arbor; MI,US,1,35,313,4228,-8373,ARB,KARB,USMI0028,264
25,Antananarivo,MG,1,155,2,-1892,4752,TNR,FMMI,MAXX0002,1022
26,Antwerp,BE,1,105,3,5121,440,ANR,EBAW,BEXX0003,4032
27,Apia,WS,1,1,,-1386,-17174,APW,NSFA,TNXX0001,3074
28,Ashgabat,TM,1,185,312,3795,5838,ASB,UTAA,TXXX0018,247
29,Asmara,ER,1,155,1,1533,3893,ASM,HHAS,ERXX0001,1357
30,Asuncion,PY,1,56,21,-2527,-5764,ASU,SGAS,PAXX0001,7016
31,Athens,GR,1,130,1,3796,2371,ATH,LGAV,GRXX0004,70
32,Atlanta; GA,US,1,35,404,3374,-8439,ATL,KATL,USGA0028,261
33,Auckland,NZ,1,290,9,-3686,17476,AKL,NZAA,NZXX0003,286
34,Austin; TX,US,1,20,512,3028,-9773,AUS,KAUS,USTX0057,394
35,Badajoz,ES,1,105,924,3888,-696,BJZ,LEBZ,SPXX0203,4791
36,Baghdad,IQ,1,158,1,3333,4440,SDA,ORBS,IZXX0008,2047
37,Bakersfield; CA,US,1,4,805,3538,-11900,BFL,KBFL,USCA0062,6037
38,Baku,AZ,1,-2147483584,12,4037,4986,BAK,UBBB,AJXX0001,163
39,Baltimore; MD,US,1,35,410,3929,-7661,BWI,KBWI,USMD0018,395
40,Bamako,ML,1,90,,1265,-799,BKO,GABS,MLXX0001,1042
41,Bandar Seri Begawan,BN,1,215,2,494,11495,BWN,WBSB,BXXX0001,2086
42,Bangalore,IN,1,190,80,1298,7759,BLR,VOBG,INXX0012,2057
43,Bangkok,TH,1,205,2,1373,10052,BKK,VTBD,THXX0002,88
44,Bangui,CF,1,113,,436,1856,BGF,FEFF,CTXX0001,1048
45,Banjul,GM,1,90,,1346,-1659,BJL,GBYD,GAXX0001,1049
46,Barcelona,ES,1,105,93,4138,217,BCN,LEBL,SPXX0015,42
47,Bari,IT,1,110,80,4112,1687,BRI,LIBD,ITXX0003,4073
48,Baton Rouge; LA,US,1,20,504,3045,-9115,BTR,KBTR,USLA0033,274
49,Beaumont; TX,US,1,20,409,3008,-9410,BPT,KBPT,USTX0089,6029
50,Beijing,CN,1,210,10,3991,11637,PEK,ZBAA,CHXX0008,90
51,Beirut,LB,1,-2147483583,1,3389,3551,BEY,OLBA,LEXX0003,249
52,Belem,BR,1,65,91,-145,-4848,BEL,SBBE,BRXX0032,7182
53,Belfast,UK,1,85,1232,5460,-592,BFS,EGAA,UKXX0015,4069
54,Belgrade,CS,1,95,11,4483,2046,BEG,LYBE,YIXX0005,61
55,Belmopan,BZ,1,33,2,1726,-8879,BZE,MZBZ,BHXX0002,6054
56,Belo Horizonte,BR,1,65,31,-1992,-4394,BHZ,SBCF,BRXX0033,7219
57,Bergen,NO,1,110,5,6038,535,BGO,ENBR,NOXX0004,289
58,Berkeley; CA,US,1,4,510,3787,-12227,JBK,KOAK,USCA0087,105
59,Berlin,DE,1,110,30,5248,1329,THF,EDDI,GMXX0007,4097
60,Bern,CH,1,110,31,4695,744,BRN,LSZB,SZXX0006,4689
61,Birmingham,UK,1,85,121,5247,-189,BHX,EGBB,UKXX0018,2
62,Birmingham; AL,US,1,20,205,3352,-8680,BHM,KBHM,USAL0054,6659
63,Bishkek,KG,1,195,3312,4286,7457,FRU,UAFM,KGXX0001,142
64,Bissau,GW,1,90,,1186,-1560,OXB,GGOV,PUXX0001,1079
65,Bogota,CO,1,45,1,460,-7408,BOG,SKBO,COXX0004,295
66,Boise; ID,US,1,10,208,4361,-11620,BOI,KBOI,USID0025,402
67,Bologna,IT,1,110,51,4450,1134,BLQ,LIPE,ITXX0006,4115
68,Bonn,DE,1,110,228,5074,710,BNJ,EDDK,GMXX0010,51
69,Bordeaux,FR,1,105,5,4484,-057,BOD,LFBD,FRXX0016,176
70,Boston; MA,US,1,35,617,4235,-7106,BOS,KBOS,USMA0046,106
71,Bournemouth,UK,1,85,1202,5073,-188,BOH,EGHH,UKXX0021,320
72,Brasilia,BR,1,65,61,-1552,-4755,BSB,SBBR,BRXX0043,7029
73,Bratislava,SK,1,95,7,4815,1711,BTS,LZIB,LOXX0001,4129
74,Brazzaville,CG,1,113,,-427,1529,BZV,FCBB,CFXX0001,125
75,Bremen,DE,1,110,421,5307,882,BRE,EDDW,GMXX0014,4131
76,Brest,FR,1,105,2,4850,-440,BES,LFRB,FRXX0019,177
77,Bridgeport; CT,US,1,35,203,4116,-7320,BDR,KBDR,USCT0019,403
78,Bridgetown,BB,1,55,246,1311,-5961,BGI,TBPB,BBXX0001,292
79,Brisbane; QLD,AU,1,260,7,-2753,15302,BNE,YBBN,ASXX0016,287
80,Brno,CZ,1,95,5,4916,1661,BRQ,LKTB,EZXX0002,4141
81,Brussels,BE,1,105,2,5085,435,BRU,EBBR,BEXX0005,37
82,Bucharest,RO,1,130,1,4443,2610,OTP,LROP,ROXX0003,62
83,Budapest,HU,1,95,1,4748,1911,BUD,LHBP,HUXX0002,59
85,Buenos Aires,AR,1,70,1,-3460,-5844,AEP,SABE,ARBA0009,111
86,Buffalo; NY,US,1,35,716,4279,-7882,BUF,KBUF,USNY0181,406
87,Bujumbura,BI,1,140,2,-337,2936,BJM,HBBA,BYXX0001,1100
88,Cagliari,IT,1,110,70,3923,911,CAG,LIEE,ITXX0010,218
89,Cairo,EG,1,120,2,3005,3123,CAI,HECA,EGXX0004,80
90,Calgary; AB,CA,1,10,403,5101,-11398,YYC,CYYC,CAXX0054,262
91,Cali,CO,1,45,2,345,-7652,CLO,SKCL,COXX0008,7036
92,Canberra,AU,1,255,62,-3533,14913,CBR,YSCB,ASXX0023,288
93,Cape Town,ZA,1,140,21,-3398,1848,CPT,FACT,SFXX0010,81
94,Caracas,VE,1,-2147483573,2,1050,-6690,CCS,SVMI,VEXX0008,112
95,Cardiff,UK,1,85,1222,5147,-317,CWL,EGFF,UKXX0030,4
96,Cedar Rapids; IA,US,1,20,319,4200,-9164,CID,KCID,USIA0138,6102
97,Charlotte; NC,US,1,35,704,3523,-8084,CLT,KCLT,USNC0121,6287
98,Charlottetown; PE,CA,1,50,902,4627,-6316,YYG,CYYG,CAXX0073,6111
99,Chengdu,CN,1,210,28,3065,10406,CTU,ZUUU,CHXX0016,2110
100,Chennai,IN,1,190,44,1307,8025,MAA,VOMM,INXX0202,2112
101,Chiba,JP,1,235,43,3558,14011,NRT,RJAA,JAXX0006,87
102,Chicago; IL,US,1,20,312,4185,-8765,ORD,KORD,USIL0225,6116
103,Chisinau,MD,1,125,2,4703,2884,KIV,LUKK,MDXX0001,4187
104,Chongqing,CN,1,210,23,2957,10656,CKG,ZUCK,CHXX0017,2128
105,Cincinnati; OH,US,1,35,513,3916,-8445,CVG,KCVG,USOH0188,413
106,Cleveland; OH,US,1,35,216,4149,-8169,CLE,KCLE,USOH0195,415
107,Colorado Springs; CO,US,1,10,719,3883,-10482,COS,KCOS,USCO0078,416
