1,Aberdeen,UK,85,1224,5713,-207,ABZ,EGPD,Europe/London
2,Abu Dhabi,AE,165,2,2442,5452,AUH,OMAA,Asia/Dubai
3,Abuja,NG,113,9,917,717,ABV,DXXX,Africa/Lagos
4,Accra,GH,90,21,556,-20,ACC,DGAA,Africa/Accra
5,Addis Ababa,ET,155,1,902,3875,ADD,HAAB,Africa/Addis_Ababa
6,Adelaide; SA,AU,250,8,-3493,13860,ADL,YPAD,Australia/Adelaide
7,Agana; GU,GU,275,671,1347,14475,GUM,PGUM,Pacific/Guam
8,Ahmadabad,IN,190,79,2305,7260,AMD,VAAH,Asia/Kolkata
9,Akita,JP,235,188,3970,14011,AXT,RJSK,Asia/Tokyo
10,Akron; OH,US,35,330,4108,-8149,CAK,KCAK,America/New_York
11,Alborg,DK,105,,5705,951,AAL,EKYT,Europe/Copenhagen
12,Albuquerque; NM,US,10,505,3508,-10665,ABQ,KIKR,America/Denver
13,Alexandria; VA,US,35,703,3880,-7706,DCA,KDCA,America/New_York
14,Algiers,DZ,113,2,3677,305,ALG,DAAG,Africa/Algiers
15,Allentown; PA,US,35,610,4059,-7546,ABE,KABE,America/New_York
16,Almaty,KZ,195,327,4325,7695,ALA,UAAA,Asia/Almaty
17,Amman,JO,-2147483582,6,3195,3593,AMM,OJAI,Asia/Amman
18,Amsterdam,NL,110,20,5238,490,AMS,EHAM,Europe/Amsterdam
19,Anaheim; CA,US,4,714,3383,-11791,ANA,KFUL,America/Los_Angeles
20,Anchorage; AK,US,3,907,6121,-14988,ANC,PANC,America/Anchorage
21,Andorra la Vella,AD,110,,4251,152,ALV,LFMK,Europe/Andorra
22,Angers,FR,105,2,4747,-55,ANE,LFRA,Europe/Paris
23,Ankara,TR,1000,312,3993,3285,ANK,LTAD,Europe/Istanbul
24,Ann Arbor; MI,US,35,313,4228,-8373,ARB,KARB,America/Detroit
25,Antananarivo,MG,155,2,-1892,4752,TNR,FMMI,Indian/Antananarivo
26,Antwerp,BE,105,3,5121,440,ANR,EBAW,Europe/Brussels
27,Apia,WS,1,,-1386,-17174,APW,NSFA,Pacific/Apia
28,Ashgabat,TM,185,312,3795,5838,ASB,UTAA,Asia/Ashgabat
29,Asmara,ER,155,1,1533,3893,ASM,HHAS,Africa/Asmara
30,Asuncion,PY,56,21,-2527,-5764,ASU,SGAS,America/Asuncion
31,Athens,GR,130,1,3796,2371,ATH,LGAV,Europe/Athens
32,Atlanta; GA,US,35,404,3374,-8439,ATL,KATL,America/New_York
33,Auckland,NZ,290,9,-3686,17476,AKL,NZAA,Pacific/Auckland
34,Austin; TX,US,20,512,3028,-9773,AUS,KAUS,America/Chicago
35,Badajoz,ES,105,924,3888,-696,BJZ,LEBZ,Europe/Madrid
36,Baghdad,IQ,158,1,3333,4440,SDA,ORBS,Asia/Baghdad
37,Bakersfield; CA,US,4,805,3538,-11900,BFL,KBFL,America/Los_Angeles
38,Baku,AZ,-2147483584,12,4037,4986,BAK,UBBB,Asia/Baku
39,Baltimore; MD,US,35,410,3929,-7661,BWI,KBWI,America/New_York
40,Bamako,ML,90,,1265,-799,BKO,GABS,Africa/Bamako
41,Bandar Seri Begawan,BN,215,2,494,11495,BWN,WBSB,Asia/Brunei
42,Bangalore,IN,190,80,1298,7759,BLR,VOBG,Asia/Kolkata
43,Bangkok,TH,205,2,1373,10052,BKK,VTBD,Asia/Bangkok
44,Bangui,CF,113,,436,1856,BGF,FEFF,Africa/Bangui
45,Banjul,GM,90,,1346,-1659,BJL,GBYD,Africa/Banjul
46,Barcelona,ES,105,93,4138,217,BCN,LEBL,Europe/Madrid
47,Bari,IT,110,80,4112,1687,BRI,LIBD,Europe/Rome
48,Baton Rouge; LA,US,20,504,3045,-9115,BTR,KBTR,America/Chicago
49,Beaumont; TX,US,20,409,3008,-9410,BPT,KBPT,America/Chicago
50,Beijing,CN,210,10,3991,11637,PEK,ZBAA,Asia/Shanghai
51,Beirut,LB,-2147483583,1,3389,3551,BEY,OLBA,Asia/Beirut
52,Belem,BR,65,91,-145,-4848,BEL,SBBE,America/Belem
53,Belfast,UK,85,1232,5460,-592,BFS,EGAA,Europe/London
54,Belgrade,CS,95,11,4483,2046,BEG,LYBE,Europe/Belgrade
55,Belmopan,BZ,33,2,1726,-8879,BZE,MZBZ,America/Belize
56,Belo Horizonte,BR,65,31,-1992,-4394,BHZ,SBCF,America/Sao_Paulo
57,Bergen,NO,110,5,6038,535,BGO,ENBR,Europe/Oslo
58,Berkeley; CA,US,4,510,3787,-12227,JBK,KOAK,America/Los_Angeles
59,Berlin,DE,110,30,5248,1329,THF,EDDI,Europe/Berlin
60,Bern,CH,110,31,4695,744,BRN,LSZB,Europe/Zurich
61,Birmingham,UK,85,121,5247,-189,BHX,EGBB,Europe/London
62,Birmingham; AL,US,20,205,3352,-8680,BHM,KBHM,America/Chicago
63,Bishkek,KG,195,3312,4286,7457,FRU,UAFM,Asia/Bishkek
64,Bissau,GW,90,,1186,-1560,OXB,GGOV,Africa/Bissau
65,Bogota,CO,45,1,460,-7408,BOG,SKBO,America/Bogota
66,Boise; ID,US,10,208,4361,-11620,BOI,KBOI,America/Boise
67,Bologna,IT,110,51,4450,1134,BLQ,LIPE,Europe/Rome
68,Bonn,DE,110,228,5074,710,BNJ,EDDK,Europe/Berlin
69,Bordeaux,FR,105,5,4484,-57,BOD,LFBD,Europe/Paris
70,Boston; MA,US,35,617,4235,-7106,BOS,KBOS,America/New_York
71,Bournemouth,UK,85,1202,5073,-188,BOH,EGHH,Europe/London
72,Brasilia,BR,65,61,-1552,-4755,BSB,SBBR,America/Sao_Paulo
73,Bratislava,SK,95,7,4815,1711,BTS,LZIB,Europe/Bratislava
74,Brazzaville,CG,113,,-427,1529,BZV,FCBB,Africa/Brazzaville
